artist_id,name,shows,musicals
780,黄偲,413,6
1263,桑云龙,413,5
3509,张子扬,408,6
98,崔秀丽,406,7
2224,林梦圆,405,1
1582,张光磊,402,5
622,奇煜,399,6
2810,秦宇星,396,5
969,张鼎棋,390,3
2784,袁泽智,390,5
707,李怡垚,387,3
2835,韦岸,384,6
1511,林世杰,380,4
3053,李金阳,380,3
497,陈晓琼,378,6
2053,肖颖婕,378,6
551,温雅祺,376,4
510,蒋依敏,372,4
1573,项裕,372,4
1867,杨磊,368,3
215,马良,365,5
3462,王泽霖,365,5
2180,王常凯,362,2
979,范杰,360,4
2829,韩志贤,360,5
3569,潘延,360,3
2482,李科,357,6
3566,陈近东,356,3
426,王梓庭,355,5
687,陈博翰,352,4
279,杨琳,350,5
2221,杨雨婷,347,1
3558,黄轶,345,5
1170,姚一依,340,5
3484,文亮棋,339,3
1030,宁馨儿,336,3
2774,乌尼思,336,2
3295,应忆俊,336,5
173,孙圣凯,335,3
1668,刘烨,332,4
1630,袁野,330,5
3085,李晨源,330,6
3219,乌丽雅苏,330,5
1079,刘洪书,328,3
1166,叶思琳,328,4
1174,付世刚,324,3
1845,戴家晟,324,3
1730,郭炳琨,322,1
1416,杨璐,318,5
283,陈希琰,312,4
624,徐天戈,312,8
992,陈梓煊,312,3
1707,索朗顿珠,310,5
3119,沈哲祺,310,5
505,白举纲,309,2
3266,周崇祥,304,4
1844,曹屿辰,303,3
3564,高泽锴,300,5
3568,汤楷,300,3
990,王皓,297,3
2783,张飞扬,297,3
508,亚森,296,4
688,许嘉芸,296,4
310,傅震华,295,5
2028,李泽楷,288,4
2226,殷赫阳,288,1
3189,石恩知,288,4
3302,张泽浩,288,3
3563,黎濮宁,288,6
1650,陈诗丹,282,5
1971,钟嘉媚,282,3
2729,黄磊,280,5
3303,邹宇昂,280,4
308,张雅琪,276,3
33,潘杭苇,273,3
1033,孙化卓,273,3
1086,褚俊驰,273,3
1415,陈茜雅,273,3
227,赵丹霓,270,3
1256,淮梓伦,270,3
3394,徐晨曦,270,5
1176,刘泽星,268,2
2629,郭颂兰,268,4
760,刘思杰,252,4
845,周仕麒,252,4
861,郑文博,252,3
2365,许诗翊,252,3
3606,彭智宇,252,6
3391,戴玉龙,249,3
2953,廖哲珣,248,4
3199,胡格畅,248,3
1901,赵云霄,245,5
2643,尉梦飞,245,1
678,朱芷秋,244,4
3235,臧鲁滨,243,3
3367,赵轩民,240,3
825,霍京晖,234,3
1394,马佳,222,3
3210,王雅馨,222,2
747,杨君军,220,2
1849,李金城,220,4
2218,安婧祎,218,1
1810,刘靖,217,1
2050,牟溢,216,3
3292,李季,216,2
1776,高星衍,215,4
3294,胡志勋,214,2
2034,林瀚青,212,4
170,潘艺琳,210,5
3370,吴冠锋,210,4
3581,范宇澄,208,4
832,秦子淳,207,3
2484,郭毕东,204,3
2633,陈雨秋,204,4
1544,郑正,200,2
1547,蒋梦诗,200,2
2101,郑玥,200,3
272,江南,198,3
3348,丁梓奕,198,2
2416,王笑语,197,1
358,蒋芸,192,4
831,方银河,192,2
3289,张耀之,192,3
3465,李纪柯,192,4
773,沐里,189,3
1917,蔡璐,189,3
2538,唐飞,189,3
2771,刘治威,189,3
2038,田格,188,4
3757,于诗涵,188,3
3861,魏文隆,185,5
2417,韩烨,184,1
3467,韩涵,184,2
2421,徐磊,183,3
225,吴锦铎,180,4
785,孙澜月,180,5
1919,孙之骥,180,3
2997,许庆泽,177,3
313,王明龙,176,2
236,周显波,175,5
1588,刘禹彤,175,5
1655,邹楚瑜,174,3
2641,周熙智,174,1
1517,俄吉古古,171,3
1400,许沁,170,5
2952,王凌毅,170,5
3128,朱礼顺,170,5
1585,黄晓婕,168,3
2897,李君傲,168,2
3416,王者风,168,2
3497,夏一轩,168,3
350,马学良,164,4
495,于毅,162,3
503,顾轩畅,162,2
3323,刘畅,162,2
3435,张一铭,162,3
1721,张弌铖,161,1
1722,刘爽,161,1
1723,张功长,161,1
1724,罗欢,161,1
1725,李智浩,161,1
1727,陈育新,161,1
1728,吕京,161,1
1261,王迎月圆,160,4
1462,徐栋,160,3
3758,王泽辉,160,3
3854,黄安果,160,5
40,李忻润,159,1
1258,袁子玉,159,3
1711,苏晔,159,3
1861,印小倩,159,3
3187,夏云梦,159,3
139,周可人,156,3
1163,韩逸秋,156,3
2901,胡星瑞,155,5
3521,陈昭如,155,5
1548,李曌,154,2
1403,黄唯铭,153,2
3560,宋苞涵,153,3
1797,谢馨仪,150,2
1813,王骏迪,150,3
2775,赵梓岑,150,3
2965,王佳宽,148,4
2934,王允宸,145,4
910,盛可欣,144,2
2438,张傲生,144,2
2697,张赛怡,144,4
3049,王思佳,144,3
3074,潘华杰,142,2
235,赵雅妮,141,3
3107,周洁旭,141,3
38,周孟涛,140,1
3191,钟楚依,140,4
356,李向哲,138,3
829,张皓哲,138,2
631,李依桐,136,4
1546,郑玲,136,2
2033,李雪银,136,4
2527,侯俊羽,135,3
2635,刘威,135,3
3364,郭洋坤,135,3
3050,冯钰涵,132,3
3202,黄骁文,132,2
